ID,Battery Capacity (in mAH),Bluetooth,Clock Speed (in GHz),Dual Sim Support,Front Camera (in MP),4G Support,Internal Memory (in GB),Mobile Depth (in cm),Mobile Weight (in g),Number of cores,Primary Camera (in MP),RAM (in MB),Talk Time (in hrs),3G Support,Touch Screen,Wifi Support,Pixel Dots,Screen Area (in sq.cm),Price Range
51,1547,Yes,3,Yes,2,Yes,14,0.7,198,3,19,2059,15,Yes,No,Yes,1908944,0,Average
52,1760,No,1.4,Yes,5,No,63,0.8,127,8,19,2053,16,No,Yes,No,1911306,228,Average
53,1654,Yes,1.5,Yes,0,Yes,43,0.3,109,2,0,3112,10,Yes,Yes,No,343434,60,High
54,1457,No,1.9,Yes,1,Yes,16,0.3,102,3,10,1440,12,Yes,No,Yes,1303731,136,Low
55,1073,Yes,0.5,Yes,0,No,51,0.5,145,7,0,2908,18,No,Yes,No,554760,0,Average
56,1936,No,2.1,Yes,10,Yes,46,0.6,104,3,20,2552,13,Yes,No,No,691012,98,Average
57,823,Yes,2.7,Yes,13,No,60,0.5,148,8,19,905,17,Yes,Yes,Yes,1191078,154,Very Low
58,987,No,1.3,Yes,0,Yes,61,0.4,107,3,9,3963,20,Yes,No,Yes,476420,36,High
59,1757,No,0.5,No,8,No,49,0.5,180,6,14,2056,4,No,No,No,188945,35,Low
60,1063,No,1.4,Yes,2,Yes,48,1,128,5,4,2910,9,Yes,Yes,Yes,86741,195,Average
61,1484,No,3,No,3,No,12,0.6,134,3,5,1457,20,Yes,Yes,No,887604,56,Low
62,799,Yes,2.3,No,1,Yes,63,0.8,144,8,6,431,6,Yes,Yes,Yes,351975,90,Very Low
63,1156,Yes,1.2,Yes,0,Yes,50,0.8,159,2,0,470,15,Yes,Yes,No,176134,0,Very Low
64,1720,No,2,No,15,Yes,55,0.5,168,2,18,2148,5,Yes,Yes,Yes,1018809,28,Average
65,702,No,2.6,Yes,2,Yes,9,0.7,141,3,3,2955,19,Yes,No,No,791280,40,Average
66,616,No,1.9,Yes,13,Yes,44,0.8,81,3,17,3366,13,Yes,Yes,No,1053318,144,High
67,1358,Yes,0.5,No,11,Yes,36,0.3,155,4,14,3068,4,Yes,Yes,No,2907770,36,High
68,1866,No,1.4,No,0,No,30,0.5,182,3,0,3834,8,No,No,No,192348,176,High
69,1242,No,1.1,Yes,0,No,10,0.6,165,2,1,1050,4,Yes,No,Yes,562275,11,Very Low
70,1166,No,1.5,Yes,0,Yes,43,0.8,80,4,1,3993,7,Yes,Yes,No,123615,7,High
71,1448,Yes,0.5,Yes,6,Yes,45,0.8,138,7,11,3378,2,Yes,Yes,Yes,982680,143,High
72,1407,Yes,2.4,No,1,Yes,22,0.7,104,4,4,2192,13,Yes,No,Yes,1426324,63,Average
73,605,No,1,No,8,Yes,9,0.1,142,3,16,392,4,Yes,No,No,164160,90,Very Low
74,1038,No,1.2,No,3,No,43,0.7,141,1,5,3709,12,Yes,Yes,Yes,2552,0,High
75,797,Yes,2.9,Yes,4,No,38,0.5,90,4,6,590,6,No,Yes,No,1078119,18,Very Low
76,819,No,0.6,Yes,8,Yes,42,0.9,188,6,20,1814,13,Yes,No,Yes,421038,20,Low
77,1114,No,2.8,No,4,Yes,9,0.4,197,3,15,907,17,Yes,Yes,No,1113840,70,Very Low
78,1234,Yes,1.6,Yes,1,No,33,0.6,172,1,3,1449,6,No,No,Yes,129148,77,Very Low
79,1199,Yes,2.5,Yes,15,Yes,16,0.2,116,4,20,3448,10,Yes,No,Yes,1812736,221,High
80,1103,No,1,Yes,6,No,29,0.7,111,6,8,1837,16,No,Yes,Yes,1471140,56,Low
81,1589,Yes,0.6,Yes,0,Yes,58,0.9,85,7,7,3464,6,Yes,Yes,Yes,384714,190,High
82,999,No,2.9,Yes,11,Yes,64,0.2,199,4,19,2593,16,Yes,Yes,No,2257552,154,Average
83,1510,Yes,0.9,Yes,2,No,45,0.9,180,5,3,3484,11,No,Yes,Yes,1240416,54,High
84,1008,No,0.8,No,11,No,61,1,114,3,15,2009,11,Yes,No,No,1208394,30,Low
85,1127,Yes,2.9,Yes,5,Yes,57,0.8,163,1,13,2048,17,Yes,Yes,Yes,973472,55,Low
86,1412,Yes,2.4,No,5,No,25,0.8,96,8,17,837,4,No,No,Yes,977304,135,Low
87,1496,Yes,2,Yes,4,No,42,0.5,182,5,5,854,7,No,Yes,Yes,71136,0,Very Low
88,1083,Yes,2.9,Yes,1,Yes,64,0.8,178,3,11,3210,4,Yes,No,No,1145950,39,High
89,668,No,0.5,Yes,0,No,3,0.1,155,5,13,2746,8,Yes,Yes,Yes,801198,45,Average
90,1309,No,1.1,Yes,0,No,33,0.5,100,4,14,2334,11,Yes,No,Yes,780914,10,Average
91,1724,No,2,Yes,2,Yes,57,0.5,177,3,5,2822,16,Yes,Yes,No,3088020,57,High
92,1977,Yes,2,Yes,7,Yes,54,1,171,7,18,1971,14,Yes,Yes,No,1522692,126,Average
93,885,No,2.3,Yes,0,Yes,15,0.4,103,7,0,1410,5,Yes,Yes,Yes,616738,160,Very Low
94,879,Yes,2.5,No,11,Yes,14,0.7,83,6,15,349,2,Yes,No,Yes,445315,160,Very Low
95,1322,No,1.7,Yes,6,No,7,0.8,140,3,9,1418,12,No,Yes,No,352230,323,Low
96,1137,Yes,1,No,18,No,7,1,196,3,19,3616,12,Yes,Yes,Yes,1110618,65,High
97,1355,No,2.3,No,10,Yes,23,0.2,132,5,16,880,8,Yes,Yes,No,580041,76,Very Low
98,1665,Yes,0.5,No,3,Yes,60,0.2,194,6,18,1601,14,Yes,No,No,2647248,306,Average
99,657,No,2.5,No,0,No,37,0.7,141,2,1,1412,18,No,Yes,No,457436,42,Very Low
100,593,No,0.5,No,6,No,31,0.4,156,7,7,1692,7,Yes,No,No,1623861,12,Low
101,1883,Yes,0.5,No,3,Yes,10,0.3,146,6,13,2600,20,Yes,No,No,1453804,128,High
102,1732,Yes,1.1,No,4,Yes,12,0.8,119,8,9,1308,11,Yes,No,Yes,725944,112,Low
103,543,No,0.5,No,0,No,57,0.7,192,5,4,2413,15,Yes,No,No,384744,238,Low
104,1939,Yes,2.8,Yes,0,Yes,55,0.6,199,4,10,1047,18,Yes,Yes,No,166400,140,Very Low
105,553,No,2.4,Yes,1,Yes,8,0.5,121,7,3,1204,8,Yes,Yes,Yes,293150,44,Very Low
106,832,No,0.7,Yes,2,Yes,39,0.7,103,4,3,1799,11,Yes,No,Yes,188000,10,Low
107,1661,No,1.9,Yes,5,No,23,1,172,5,10,2676,11,No,Yes,Yes,1382364,72,High
108,1657,Yes,2.4,No,3,No,42,0.1,198,5,16,2597,14,Yes,No,No,3178920,18,High
109,1135,Yes,2,Yes,0,No,46,0.3,83,1,4,3029,9,Yes,Yes,Yes,540878,323,High
110,1775,Yes,1.5,No,3,No,41,0.1,163,1,7,2343,14,Yes,Yes,Yes,3052077,247,High
111,783,No,1.8,Yes,0,Yes,43,1,106,3,4,2016,18,Yes,Yes,No,1762258,64,Low
112,617,Yes,2.3,No,0,No,32,0.5,199,7,20,2213,7,No,No,No,671232,234,Low
113,867,No,1.4,Yes,0,Yes,4,0.7,135,6,1,790,3,Yes,Yes,No,138180,78,Very Low
114,1310,Yes,1.1,Yes,13,No,7,1,194,5,14,3182,5,Yes,Yes,No,60021,32,Average
115,1804,No,0.5,No,9,Yes,22,0.6,153,7,19,3472,20,Yes,No,Yes,1440552,9,High
116,1900,Yes,2.3,No,1,Yes,18,0.2,89,7,9,2871,13,Yes,Yes,Yes,1752355,12,High
117,909,Yes,1.4,No,0,No,53,0.3,82,8,0,3187,4,Yes,No,No,617855,108,Average
118,1084,Yes,2.6,No,3,Yes,40,0.9,107,3,11,1945,10,Yes,Yes,No,248262,60,Low
119,1308,No,1.3,Yes,8,No,46,0.9,199,1,12,488,9,No,Yes,No,271975,15,Very Low
120,1778,No,0.5,No,0,No,15,0.5,102,3,0,1214,14,Yes,No,No,2823530,0,Low
121,1701,Yes,1.6,Yes,3,No,10,0.3,194,8,7,2598,6,No,Yes,No,735900,108,Average
122,772,Yes,2.4,Yes,1,Yes,10,0.5,80,4,2,3242,4,Yes,Yes,No,2126304,198,High
123,825,Yes,0.5,Yes,7,No,52,0.9,130,3,10,3534,6,No,Yes,No,515211,40,High
124,1379,No,1.1,No,5,Yes,36,0.8,200,2,7,3426,17,Yes,Yes,Yes,740288,20,High
125,1166,No,2,No,3,Yes,25,0.8,198,5,4,2488,15,Yes,No,No,70977,65,Average
126,1659,No,2.8,No,5,No,16,0.6,89,1,20,3255,9,No,No,Yes,738738,266,High
127,826,Yes,2.4,Yes,0,Yes,58,0.3,88,4,1,2863,18,Yes,No,Yes,140694,27,Average
128,1564,No,2.3,No,4,Yes,25,0.5,189,6,17,1496,7,Yes,Yes,Yes,2473935,24,Low
129,1957,No,0.9,Yes,11,No,31,0.6,181,3,16,3801,7,Yes,No,Yes,685872,0,High
130,1571,No,1.4,No,0,Yes,19,0.1,100,6,1,666,13,Yes,Yes,No,996774,120,Very Low
131,1414,No,2,Yes,2,No,54,0.8,99,7,3,3799,7,Yes,No,Yes,217198,119,High
132,1790,No,2.5,Yes,9,No,2,0.1,184,1,14,1366,20,Yes,Yes,Yes,492624,0,Low
133,645,No,0.5,No,1,No,41,1,197,7,10,2962,4,Yes,Yes,Yes,189660,108,Average
134,668,No,2.9,Yes,7,No,30,0.2,195,8,12,2399,7,Yes,Yes,Yes,551232,50,Low
135,1652,Yes,1.1,Yes,1,No,36,0.7,89,4,5,2338,20,No,No,No,395632,96,Average
136,1213,Yes,0.5,No,0,No,16,0.5,108,5,0,2700,9,No,No,Yes,282048,36,Average
137,1272,Yes,2.5,Yes,0,No,22,0.9,133,6,8,2235,4,Yes,No,No,404745,76,Low
138,866,No,0.5,Yes,5,Yes,46,0.5,179,8,7,3825,2,Yes,Yes,Yes,1166712,132,High
139,536,No,2.4,Yes,12,Yes,3,0.3,182,7,14,284,4,Yes,Yes,No,2133054,108,Very Low
140,523,No,2.6,Yes,1,No,14,0.1,155,8,2,1427,9,No,Yes,No,316768,9,Very Low
141,1753,No,0.5,Yes,0,Yes,31,0.1,134,1,18,1324,17,Yes,No,Yes,3062340,0,Average
142,1218,No,1.8,Yes,1,Yes,14,0.5,147,3,4,398,5,Yes,No,No,141064,0,Very Low
143,1537,Yes,2.5,No,4,Yes,43,0.3,137,1,5,3685,17,Yes,Yes,Yes,948909,306,High
144,786,No,2.2,Yes,0,No,33,0.5,141,7,6,2390,5,Yes,No,Yes,860379,132,Average
145,1678,No,2.1,No,3,Yes,64,0.9,134,3,11,278,10,Yes,Yes,No,233696,0,Very Low
146,1814,No,1.4,Yes,1,Yes,9,0.4,141,2,2,3556,16,Yes,No,No,594216,216,High
147,1101,No,1.8,No,0,No,31,0.2,148,2,7,2196,19,No,Yes,Yes,491103,72,Low
148,1461,No,2.4,Yes,3,Yes,40,0.5,141,7,4,3799,4,Yes,No,No,1641970,16,High
149,1216,No,3,No,4,No,47,0.4,199,3,7,2268,4,No,Yes,Yes,3642884,65,Average
150,506,No,1.6,No,6,Yes,41,0.8,159,1,7,2965,15,Yes,No,No,896875,130,Average
151,843,Yes,0.5,No,1,Yes,56,0.1,147,5,17,2341,20,Yes,Yes,Yes,112000,10,Low
152,742,No,2.2,Yes,4,No,56,0.2,190,7,14,3557,12,No,Yes,Yes,784143,176,High
153,1692,Yes,2.1,No,3,Yes,61,0.9,176,6,12,1354,19,Yes,No,No,1946100,112,Low
154,1485,No,1,No,2,Yes,32,0.7,84,2,9,2147,11,Yes,Yes,No,516630,19,Average
155,1547,No,2.9,Yes,6,No,45,0.7,166,2,8,505,3,No,Yes,Yes,343970,24,Very Low
156,1692,No,2.3,Yes,4,Yes,46,0.9,139,1,6,1394,6,Yes,Yes,No,1297450,160,Low
157,637,No,2.3,No,3,Yes,60,0.8,97,4,4,374,8,Yes,No,Yes,2237625,72,Very Low
158,1224,No,0.5,No,16,Yes,6,0.4,109,6,18,506,11,Yes,Yes,Yes,617022,0,Very Low
159,1356,No,2.8,No,0,No,29,0.5,198,6,0,3702,19,No,No,No,3196596,0,High
160,1840,No,0.5,Yes,12,No,34,0.7,142,1,16,1078,10,No,No,No,480495,0,Low
161,1481,Yes,0.7,Yes,4,Yes,37,0.6,96,5,13,2945,16,Yes,Yes,Yes,177828,50,Average
162,961,Yes,1.5,Yes,10,No,51,0.3,152,6,16,2981,7,Yes,Yes,Yes,344034,90,Average
163,1296,No,0.9,Yes,0,Yes,14,0.5,124,5,3,490,4,Yes,Yes,Yes,1031592,7,Very Low
164,1193,No,0.9,No,11,No,26,0.5,166,1,20,536,4,Yes,No,Yes,1262170,238,Very Low
165,1441,No,2.1,Yes,11,Yes,3,0.1,118,8,17,2317,7,Yes,No,Yes,617967,64,Average
166,517,No,1.4,Yes,3,Yes,33,0.8,183,4,8,3704,11,Yes,No,Yes,642840,272,High
167,748,Yes,1.7,No,0,Yes,27,0.9,150,8,4,2126,7,Yes,No,No,699300,162,Low
168,1126,Yes,2.4,No,2,Yes,10,0.4,160,6,3,2050,12,Yes,Yes,Yes,1970253,42,Average
169,1572,No,0.6,No,0,Yes,58,0.2,157,7,8,2462,10,Yes,No,No,2148133,96,High
170,1569,No,2.8,Yes,17,No,44,0.3,110,4,20,1260,17,Yes,No,No,87390,18,Low
171,1270,Yes,0.6,Yes,2,Yes,32,0.5,101,7,6,3770,13,Yes,Yes,No,252655,15,High
172,1854,No,3,No,2,Yes,8,0.1,101,5,5,1886,20,Yes,Yes,No,317262,68,Low
173,625,Yes,1.2,Yes,5,Yes,10,0.2,183,4,8,3323,7,Yes,Yes,Yes,534670,9,Average
174,1577,No,0.5,Yes,0,Yes,42,0.3,197,5,4,2060,12,Yes,No,No,1815165,114,Average
175,534,No,0.5,Yes,0,Yes,16,1,189,5,1,3926,20,Yes,No,No,471207,192,High
176,946,No,1.7,Yes,8,Yes,25,0.8,143,6,15,2177,13,Yes,Yes,Yes,1131000,35,Average
177,685,No,0.5,No,2,No,29,0.8,93,7,10,728,4,No,No,Yes,280584,112,Very Low
178,1949,No,1.3,Yes,0,No,23,0.1,101,5,1,2478,20,Yes,No,No,953104,112,High
179,947,No,0.8,Yes,0,Yes,22,0.1,197,2,13,2842,2,Yes,No,No,1434720,192,Average
180,801,Yes,2.2,Yes,2,No,63,0.4,165,7,4,1617,19,No,No,Yes,571350,68,Low
181,703,Yes,2.7,No,12,Yes,30,0.3,113,1,20,1472,7,Yes,No,No,232170,98,Very Low
182,1165,Yes,2.4,No,11,No,41,0.2,178,6,12,764,15,Yes,No,No,468684,228,Very Low
183,1082,No,0.8,No,0,No,38,0.1,198,8,5,2337,17,No,Yes,Yes,1174326,6,Average
184,959,Yes,2.6,Yes,15,No,20,1,84,4,19,3965,6,Yes,No,No,914991,16,High
185,1502,Yes,1.2,No,0,No,54,0.2,138,5,12,3693,16,Yes,Yes,No,38220,238,High
186,1380,Yes,2.1,Yes,1,Yes,4,0.8,92,3,13,797,15,Yes,Yes,No,210000,26,Very Low
187,1266,No,0.5,No,0,Yes,5,0.1,95,6,9,1687,18,Yes,No,No,2317770,0,Average
188,1934,Yes,2.6,Yes,0,Yes,46,0.1,103,1,17,2940,2,Yes,Yes,Yes,804081,117,High
189,1905,Yes,0.5,No,3,Yes,6,0.5,151,1,5,1545,10,Yes,Yes,No,762402,45,Low
190,1831,No,1.4,Yes,2,No,43,0.9,150,5,5,3834,13,Yes,Yes,Yes,843791,119,High
191,596,No,1.4,No,8,No,46,0.6,165,1,18,2505,15,Yes,Yes,No,937752,60,Low
192,1562,Yes,1.3,Yes,1,Yes,7,0.2,190,5,15,2243,6,Yes,No,No,984186,120,Average
193,1490,Yes,0.5,Yes,4,Yes,64,0.3,150,8,8,3600,7,Yes,Yes,Yes,2074488,153,High
194,1523,Yes,2.4,No,5,Yes,57,0.2,117,2,6,3971,10,Yes,Yes,Yes,133133,216,High
195,640,No,0.6,No,0,No,20,0.1,163,4,15,2844,18,Yes,Yes,No,837090,35,Average
196,1526,No,2.1,No,1,Yes,23,0.2,117,7,8,2227,3,Yes,Yes,No,539218,180,Average
197,1989,No,2.5,Yes,0,Yes,41,0.8,94,3,13,1665,12,Yes,Yes,Yes,1646700,153,Average
198,1308,No,1.9,No,0,Yes,61,0.7,106,3,7,3355,4,Yes,No,Yes,71685,30,High
199,609,No,0.5,No,3,No,26,0.3,93,4,4,1866,14,Yes,Yes,Yes,1827224,110,Low
200,1905,No,0.6,Yes,9,Yes,36,0.4,119,3,20,1287,16,Yes,No,No,1272150,52,Low
201,1703,Yes,0.5,No,0,Yes,22,0.6,192,1,0,1046,13,Yes,No,Yes,353210,20,Very Low
202,1445,Yes,2.4,Yes,7,Yes,20,0.4,173,7,15,1441,13,Yes,Yes,Yes,1712185,28,Low
203,1087,No,1.3,No,0,Yes,16,0.3,166,3,9,690,6,Yes,No,Yes,173755,84,Very Low
204,671,No,0.9,Yes,10,No,30,0.7,105,7,17,2504,15,Yes,No,No,1007064,24,Average
205,1472,Yes,2.3,No,6,No,61,0.1,168,6,19,2677,8,Yes,No,No,746920,285,Average
206,765,No,0.5,Yes,0,Yes,47,0.3,115,8,1,2243,4,Yes,No,Yes,1824833,77,Average
207,1642,No,0.5,Yes,16,Yes,8,0.3,171,6,17,2984,17,Yes,No,Yes,112617,52,Average
208,1265,No,1.5,No,7,No,49,0.7,182,5,16,1362,12,No,No,Yes,576840,0,Low
209,664,Yes,1.1,Yes,1,Yes,51,0.1,110,7,4,3629,6,Yes,Yes,Yes,1036078,285,High
210,1277,Yes,0.5,Yes,0,Yes,35,0.4,142,6,6,3559,6,Yes,Yes,No,451140,306,High
211,1395,No,1.8,Yes,0,No,23,0.1,111,3,1,2571,13,Yes,No,Yes,150165,0,Average
212,1539,Yes,2.6,No,0,No,41,0.1,159,8,0,2107,10,Yes,No,Yes,1852592,135,Average
213,1049,Yes,2.2,No,9,No,63,0.5,135,5,17,1022,13,No,No,No,214323,33,Very Low
214,1827,No,1.7,No,4,Yes,39,0.5,128,5,16,2844,10,Yes,Yes,No,56100,126,Average
215,903,No,1,Yes,0,Yes,50,0.4,91,1,0,711,10,Yes,Yes,No,1519050,45,Very Low
216,1987,Yes,0.5,No,3,Yes,53,1,181,3,7,3117,8,Yes,Yes,Yes,1594832,90,High
217,1154,No,1.2,Yes,0,Yes,49,0.2,181,8,2,978,7,Yes,No,Yes,810959,15,Very Low
218,1336,No,0.9,No,5,Yes,17,0.2,194,5,9,1869,16,Yes,Yes,Yes,32065,13,Low
219,1886,No,0.5,No,0,Yes,24,0.4,112,3,1,1179,20,Yes,No,Yes,1584022,112,Low
220,1551,No,1.1,No,4,No,51,0.1,88,5,6,3844,4,No,Yes,No,3467310,88,High
221,850,Yes,1.6,Yes,6,Yes,29,0.5,133,5,19,593,10,Yes,No,Yes,259368,323,Very Low
222,660,No,0.5,No,5,Yes,40,0.5,111,2,10,588,18,Yes,Yes,Yes,308636,30,Very Low
223,1225,Yes,2.1,Yes,8,No,13,0.5,116,4,12,3836,11,No,No,No,1065636,132,High
224,1452,Yes,0.5,Yes,1,Yes,25,0.9,123,6,11,2669,13,Yes,No,No,43680,120,Average
225,1686,Yes,2.8,Yes,3,No,38,0.1,166,4,4,2958,2,No,No,No,576841,154,High
226,1634,Yes,1.4,No,1,Yes,17,0.2,200,2,5,3031,6,Yes,Yes,Yes,1616628,66,High
227,1708,Yes,2.4,Yes,18,Yes,49,0.1,109,1,19,3388,16,Yes,Yes,Yes,120461,24,High
228,1151,Yes,2.9,Yes,0,No,31,0.6,128,8,1,2377,13,No,Yes,No,1594320,144,Average
229,1578,No,1.9,Yes,2,Yes,37,0.1,138,4,19,2458,3,Yes,No,Yes,503886,304,Average
230,1689,No,1.8,No,17,No,24,0.3,127,3,18,2766,7,No,Yes,Yes,1144800,14,High
231,1488,No,0.5,No,1,No,39,0.8,112,5,6,3054,19,No,No,No,2516616,140,High
232,1313,Yes,1.8,Yes,4,No,9,0.4,105,1,6,3791,6,No,Yes,Yes,544128,110,High
233,1715,No,1,Yes,4,Yes,31,0.5,83,8,17,625,13,Yes,No,No,1030370,102,Very Low
234,1442,No,1,Yes,0,No,27,0.1,192,3,19,2227,20,Yes,Yes,No,158697,30,Low
235,528,No,1.7,No,12,Yes,6,0.8,142,2,15,3256,6,Yes,Yes,No,365638,72,Average
236,1523,Yes,1.8,No,6,Yes,11,0.1,129,1,8,707,19,Yes,Yes,No,237688,152,Very Low
237,1133,No,1.4,No,3,No,42,0.1,199,5,12,1457,20,Yes,No,Yes,1126390,216,Low
238,1718,Yes,2.5,Yes,14,Yes,6,0.1,183,5,16,3755,8,Yes,Yes,Yes,552720,7,High
239,1330,No,0.5,No,0,No,38,1,183,7,1,1733,11,Yes,No,Yes,1858890,0,Low
240,1799,Yes,0.5,No,0,No,49,0.4,107,4,2,720,11,Yes,Yes,Yes,874056,24,Very Low
241,633,Yes,2.2,No,0,Yes,49,0.1,139,8,1,3560,16,Yes,Yes,Yes,533761,11,Average
242,724,No,2.7,Yes,0,No,44,0.5,187,7,0,2311,7,Yes,No,No,2232842,42,Average
243,822,Yes,0.5,No,0,Yes,51,0.3,157,6,20,3846,3,Yes,No,No,573620,10,High
244,1918,No,1.9,No,2,No,10,0.6,110,5,10,1717,16,Yes,Yes,Yes,1805310,7,Average
245,1891,No,2.8,No,7,Yes,37,0.4,129,7,14,3704,11,Yes,No,No,187252,48,High
246,1373,Yes,1,Yes,2,No,50,0.2,127,7,12,3800,14,Yes,No,No,70665,24,High
247,862,Yes,0.8,Yes,3,No,23,0.4,165,2,15,278,11,No,No,Yes,1394094,48,Very Low
248,1273,No,1,No,3,Yes,48,0.4,99,4,15,1767,11,Yes,Yes,No,434140,270,Low
249,957,Yes,2.5,No,4,No,7,0.8,107,5,10,1846,7,Yes,No,Yes,1783485,60,Low
250,1617,Yes,1.3,Yes,3,Yes,30,0.7,105,2,4,829,10,Yes,No,No,255348,0,Very Low
