id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,px_area,sc_area,price_range
39,790,0,2,1,16,1,11,0.3,87,6,17,3169,2,1,0,1,253310,6,3
40,560,0,0.5,1,15,0,50,0.3,159,2,20,2150,11,1,1,0,2335624,216,3
41,1347,0,2.9,0,5,0,44,0.6,132,1,14,2484,11,1,0,1,419678,36,3
42,1646,1,2.3,0,8,1,41,0.2,185,2,10,3339,19,1,1,0,3332700,180,4
43,1253,1,0.5,1,5,1,5,0.2,152,2,19,1878,4,1,1,0,489090,0,2
44,1656,0,1,0,5,1,34,0.1,166,3,7,1629,14,1,1,0,1281280,180,2
45,1195,1,2.8,0,1,1,20,0.8,110,2,14,504,12,1,1,0,2610160,27,1
46,1514,0,2.9,0,0,0,27,0.2,118,3,1,1152,20,0,1,1,336660,24,2
47,1723,1,1.1,1,1,0,42,1,164,8,14,3587,3,1,0,0,361782,50,4
48,1054,1,1.8,1,3,1,40,0.8,196,7,10,2296,12,1,0,1,20898,192,2
49,578,1,2.6,1,2,1,57,0.2,162,8,8,1270,5,1,0,1,1468825,45,1
50,596,0,2.1,1,9,0,64,0.8,111,8,15,3238,10,0,0,0,1640790,208,4
51,1547,1,3,1,2,1,14,0.7,198,3,19,2059,15,1,0,1,1908944,0,3
52,1760,0,1.4,1,5,0,63,0.8,127,8,19,2053,16,0,1,0,1911306,228,3
53,1654,1,1.5,1,0,1,43,0.3,109,2,0,3112,10,1,1,0,343434,60,4
54,1457,0,1.9,1,1,1,16,0.3,102,3,10,1440,12,1,0,1,1303731,136,2
55,1073,1,0.5,1,0,0,51,0.5,145,7,0,2908,18,0,1,0,554760,0,3
56,1936,0,2.1,1,10,1,46,0.6,104,3,20,2552,13,1,0,0,691012,98,3
57,823,1,2.7,1,13,0,60,0.5,148,8,19,905,17,1,1,1,1191078,154,1
58,987,0,1.3,1,0,1,61,0.4,107,3,9,3963,20,1,0,1,476420,36,4
59,1757,0,0.5,0,8,0,49,0.5,180,6,14,2056,4,0,0,0,188945,35,2
60,1063,0,1.4,1,2,1,48,1,128,5,4,2910,9,1,1,1,86741,195,3
61,1484,0,3,0,3,0,12,0.6,134,3,5,1457,20,1,1,0,887604,56,2
62,799,1,2.3,0,1,1,63,0.8,144,8,6,431,6,1,1,1,351975,90,1
63,1156,1,1.2,1,0,1,50,0.8,159,2,0,470,15,1,1,0,176134,0,1
64,1720,0,2,0,15,1,55,0.5,168,2,18,2148,5,1,1,1,1018809,28,3
65,702,0,2.6,1,2,1,9,0.7,141,3,3,2955,19,1,0,0,791280,40,3
66,616,0,1.9,1,13,1,44,0.8,81,3,17,3366,13,1,1,0,1053318,144,4
67,1358,1,0.5,0,11,1,36,0.3,155,4,14,3068,4,1,1,0,2907770,36,4
68,1866,0,1.4,0,0,0,30,0.5,182,3,0,3834,8,0,0,0,192348,176,4
69,1242,0,1.1,1,0,0,10,0.6,165,2,1,1050,4,1,0,1,562275,11,1
70,1166,0,1.5,1,0,1,43,0.8,80,4,1,3993,7,1,1,0,123615,7,4
71,1448,1,0.5,1,6,1,45,0.8,138,7,11,3378,2,1,1,1,982680,143,4
72,1407,1,2.4,0,1,1,22,0.7,104,4,4,2192,13,1,0,1,1426324,63,3
73,605,0,1,0,8,1,9,0.1,142,3,16,392,4,1,0,0,164160,90,1
74,1038,0,1.2,0,3,0,43,0.7,141,1,5,3709,12,1,1,1,2552,0,4
75,797,1,2.9,1,4,0,38,0.5,90,4,6,590,6,0,1,0,1078119,18,1
76,819,0,0.6,1,8,1,42,0.9,188,6,20,1814,13,1,0,1,421038,20,2
77,1114,0,2.8,0,4,1,9,0.4,197,3,15,907,17,1,1,0,1113840,70,1
78,1234,1,1.6,1,1,0,33,0.6,172,1,3,1449,6,0,0,1,129148,77,1
79,1199,1,2.5,1,15,1,16,0.2,116,4,20,3448,10,1,0,1,1812736,221,4
80,1103,0,1,1,6,0,29,0.7,111,6,8,1837,16,0,1,1,1471140,56,2
81,1589,1,0.6,1,0,1,58,0.9,85,7,7,3464,6,1,1,1,384714,190,4
82,999,0,2.9,1,11,1,64,0.2,199,4,19,2593,16,1,1,0,2257552,154,3
83,1510,1,0.9,1,2,0,45,0.9,180,5,3,3484,11,0,1,1,1240416,54,4
84,1008,0,0.8,0,11,0,61,1,114,3,15,2009,11,1,0,0,1208394,30,2
85,1127,1,2.9,1,5,1,57,0.8,163,1,13,2048,17,1,1,1,973472,55,2
86,1412,1,2.4,0,5,0,25,0.8,96,8,17,837,4,0,0,1,977304,135,2
87,1496,1,2,1,4,0,42,0.5,182,5,5,854,7,0,1,1,71136,0,1
88,1083,1,2.9,1,1,1,64,0.8,178,3,11,3210,4,1,0,0,1145950,39,4
89,668,0,0.5,1,0,0,3,0.1,155,5,13,2746,8,1,1,1,801198,45,3
90,1309,0,1.1,1,0,0,33,0.5,100,4,14,2334,11,1,0,1,780914,10,3
91,1724,0,2,1,2,1,57,0.5,177,3,5,2822,16,1,1,0,3088020,57,4
92,1977,1,2,1,7,1,54,1,171,7,18,1971,14,1,1,0,1522692,126,3
93,885,0,2.3,1,0,1,15,0.4,103,7,0,1410,5,1,1,1,616738,160,1
94,879,1,2.5,0,11,1,14,0.7,83,6,15,349,2,1,0,1,445315,160,1
95,1322,0,1.7,1,6,0,7,0.8,140,3,9,1418,12,0,1,0,352230,323,2
96,1137,1,1,0,18,0,7,1,196,3,19,3616,12,1,1,1,1110618,65,4
97,1355,0,2.3,0,10,1,23,0.2,132,5,16,880,8,1,1,0,580041,76,1
98,1665,1,0.5,0,3,1,60,0.2,194,6,18,1601,14,1,0,0,2647248,306,3
99,657,0,2.5,0,0,0,37,0.7,141,2,1,1412,18,0,1,0,457436,42,1
100,593,0,0.5,0,6,0,31,0.4,156,7,7,1692,7,1,0,0,1623861,12,2
101,1883,1,0.5,0,3,1,10,0.3,146,6,13,2600,20,1,0,0,1453804,128,4
102,1732,1,1.1,0,4,1,12,0.8,119,8,9,1308,11,1,0,1,725944,112,2
103,543,0,0.5,0,0,0,57,0.7,192,5,4,2413,15,1,0,0,384744,238,2
104,1939,1,2.8,1,0,1,55,0.6,199,4,10,1047,18,1,1,0,166400,140,1
105,553,0,2.4,1,1,1,8,0.5,121,7,3,1204,8,1,1,1,293150,44,1
106,832,0,0.7,1,2,1,39,0.7,103,4,3,1799,11,1,0,1,188000,10,2
107,1661,0,1.9,1,5,0,23,1,172,5,10,2676,11,0,1,1,1382364,72,4
108,1657,1,2.4,0,3,0,42,0.1,198,5,16,2597,14,1,0,0,3178920,18,4
109,1135,1,2,1,0,0,46,0.3,83,1,4,3029,9,1,1,1,540878,323,4
110,1775,1,1.5,0,3,0,41,0.1,163,1,7,2343,14,1,1,1,3052077,247,4
111,783,0,1.8,1,0,1,43,1,106,3,4,2016,18,1,1,0,1762258,64,2
112,617,1,2.3,0,0,0,32,0.5,199,7,20,2213,7,0,0,0,671232,234,2
113,867,0,1.4,1,0,1,4,0.7,135,6,1,790,3,1,1,0,138180,78,1
114,1310,1,1.1,1,13,0,7,1,194,5,14,3182,5,1,1,0,60021,32,3
115,1804,0,0.5,0,9,1,22,0.6,153,7,19,3472,20,1,0,1,1440552,9,4
116,1900,1,2.3,0,1,1,18,0.2,89,7,9,2871,13,1,1,1,1752355,12,4
117,909,1,1.4,0,0,0,53,0.3,82,8,0,3187,4,1,0,0,617855,108,3
118,1084,1,2.6,0,3,1,40,0.9,107,3,11,1945,10,1,1,0,248262,60,2
119,1308,0,1.3,1,8,0,46,0.9,199,1,12,488,9,0,1,0,271975,15,1
120,1778,0,0.5,0,0,0,15,0.5,102,3,0,1214,14,1,0,0,2823530,0,2
121,1701,1,1.6,1,3,0,10,0.3,194,8,7,2598,6,0,1,0,735900,108,3
122,772,1,2.4,1,1,1,10,0.5,80,4,2,3242,4,1,1,0,2126304,198,4
123,825,1,0.5,1,7,0,52,0.9,130,3,10,3534,6,0,1,0,515211,40,4
124,1379,0,1.1,0,5,1,36,0.8,200,2,7,3426,17,1,1,1,740288,20,4
125,1166,0,2,0,3,1,25,0.8,198,5,4,2488,15,1,0,0,70977,65,3
126,1659,0,2.8,0,5,0,16,0.6,89,1,20,3255,9,0,0,1,738738,266,4
127,826,1,2.4,1,0,1,58,0.3,88,4,1,2863,18,1,0,1,140694,27,3
128,1564,0,2.3,0,4,1,25,0.5,189,6,17,1496,7,1,1,1,2473935,24,2
129,1957,0,0.9,1,11,0,31,0.6,181,3,16,3801,7,1,0,1,685872,0,4
130,1571,0,1.4,0,0,1,19,0.1,100,6,1,666,13,1,1,0,996774,120,1
131,1414,0,2,1,2,0,54,0.8,99,7,3,3799,7,1,0,1,217198,119,4
132,1790,0,2.5,1,9,0,2,0.1,184,1,14,1366,20,1,1,1,492624,0,2
133,645,0,0.5,0,1,0,41,1,197,7,10,2962,4,1,1,1,189660,108,3
134,668,0,2.9,1,7,0,30,0.2,195,8,12,2399,7,1,1,1,551232,50,2
135,1652,1,1.1,1,1,0,36,0.7,89,4,5,2338,20,0,0,0,395632,96,3
136,1213,1,0.5,0,0,0,16,0.5,108,5,0,2700,9,0,0,1,282048,36,3
137,1272,1,2.5,1,0,0,22,0.9,133,6,8,2235,4,1,0,0,404745,76,2
138,866,0,0.5,1,5,1,46,0.5,179,8,7,3825,2,1,1,1,1166712,132,4
139,536,0,2.4,1,12,1,3,0.3,182,7,14,284,4,1,1,0,2133054,108,1
140,523,0,2.6,1,1,0,14,0.1,155,8,2,1427,9,0,1,0,316768,9,1
141,1753,0,0.5,1,0,1,31,0.1,134,1,18,1324,17,1,0,1,3062340,0,3
142,1218,0,1.8,1,1,1,14,0.5,147,3,4,398,5,1,0,0,141064,0,1
143,1537,1,2.5,0,4,1,43,0.3,137,1,5,3685,17,1,1,1,948909,306,4
144,786,0,2.2,1,0,0,33,0.5,141,7,6,2390,5,1,0,1,860379,132,3
145,1678,0,2.1,0,3,1,64,0.9,134,3,11,278,10,1,1,0,233696,0,1
146,1814,0,1.4,1,1,1,9,0.4,141,2,2,3556,16,1,0,0,594216,216,4
147,1101,0,1.8,0,0,0,31,0.2,148,2,7,2196,19,0,1,1,491103,72,2
148,1461,0,2.4,1,3,1,40,0.5,141,7,4,3799,4,1,0,0,1641970,16,4
149,1216,0,3,0,4,0,47,0.4,199,3,7,2268,4,0,1,1,3642884,65,3
150,506,0,1.6,0,6,1,41,0.8,159,1,7,2965,15,1,0,0,896875,130,3
151,843,1,0.5,0,1,1,56,0.1,147,5,17,2341,20,1,1,1,112000,10,2
152,742,0,2.2,1,4,0,56,0.2,190,7,14,3557,12,0,1,1,784143,176,4
153,1692,1,2.1,0,3,1,61,0.9,176,6,12,1354,19,1,0,0,1946100,112,2
154,1485,0,1,0,2,1,32,0.7,84,2,9,2147,11,1,1,0,516630,19,3
155,1547,0,2.9,1,6,0,45,0.7,166,2,8,505,3,0,1,1,343970,24,1
156,1692,0,2.3,1,4,1,46,0.9,139,1,6,1394,6,1,1,0,1297450,160,2
157,637,0,2.3,0,3,1,60,0.8,97,4,4,374,8,1,0,1,2237625,72,1
158,1224,0,0.5,0,16,1,6,0.4,109,6,18,506,11,1,1,1,617022,0,1
159,1356,0,2.8,0,0,0,29,0.5,198,6,0,3702,19,0,0,0,3196596,0,4
160,1840,0,0.5,1,12,0,34,0.7,142,1,16,1078,10,0,0,0,480495,0,2
161,1481,1,0.7,1,4,1,37,0.6,96,5,13,2945,16,1,1,1,177828,50,3
162,961,1,1.5,1,10,0,51,0.3,152,6,16,2981,7,1,1,1,344034,90,3
163,1296,0,0.9,1,0,1,14,0.5,124,5,3,490,4,1,1,1,1031592,7,1
164,1193,0,0.9,0,11,0,26,0.5,166,1,20,536,4,1,0,1,1262170,238,1
165,1441,0,2.1,1,11,1,3,0.1,118,8,17,2317,7,1,0,1,617967,64,3
166,517,0,1.4,1,3,1,33,0.8,183,4,8,3704,11,1,0,1,642840,272,4
167,748,1,1.7,0,0,1,27,0.9,150,8,4,2126,7,1,0,0,699300,162,2
168,1126,1,2.4,0,2,1,10,0.4,160,6,3,2050,12,1,1,1,1970253,42,3
169,1572,0,0.6,0,0,1,58,0.2,157,7,8,2462,10,1,0,0,2148133,96,4
170,1569,0,2.8,1,17,0,44,0.3,110,4,20,1260,17,1,0,0,87390,18,2
171,1270,1,0.6,1,2,1,32,0.5,101,7,6,3770,13,1,1,0,252655,15,4
172,1854,0,3,0,2,1,8,0.1,101,5,5,1886,20,1,1,0,317262,68,2
173,625,1,1.2,1,5,1,10,0.2,183,4,8,3323,7,1,1,1,534670,9,3
174,1577,0,0.5,1,0,1,42,0.3,197,5,4,2060,12,1,0,0,1815165,114,3
175,534,0,0.5,1,0,1,16,1,189,5,1,3926,20,1,0,0,471207,192,4
176,946,0,1.7,1,8,1,25,0.8,143,6,15,2177,13,1,1,1,1131000,35,3
177,685,0,0.5,0,2,0,29,0.8,93,7,10,728,4,0,0,1,280584,112,1
178,1949,0,1.3,1,0,0,23,0.1,101,5,1,2478,20,1,0,0,953104,112,4
179,947,0,0.8,1,0,1,22,0.1,197,2,13,2842,2,1,0,0,1434720,192,3
180,801,1,2.2,1,2,0,63,0.4,165,7,4,1617,19,0,0,1,571350,68,2
181,703,1,2.7,0,12,1,30,0.3,113,1,20,1472,7,1,0,0,232170,98,1
182,1165,1,2.4,0,11,0,41,0.2,178,6,12,764,15,1,0,0,468684,228,1
183,1082,0,0.8,0,0,0,38,0.1,198,8,5,2337,17,0,1,1,1174326,6,3
184,959,1,2.6,1,15,0,20,1,84,4,19,3965,6,1,0,0,914991,16,4
185,1502,1,1.2,0,0,0,54,0.2,138,5,12,3693,16,1,1,0,38220,238,4
186,1380,1,2.1,1,1,1,4,0.8,92,3,13,797,15,1,1,0,210000,26,1
187,1266,0,0.5,0,0,1,5,0.1,95,6,9,1687,18,1,0,0,2317770,0,3
188,1934,1,2.6,1,0,1,46,0.1,103,1,17,2940,2,1,1,1,804081,117,4
189,1905,1,0.5,0,3,1,6,0.5,151,1,5,1545,10,1,1,0,762402,45,2
190,1831,0,1.4,1,2,0,43,0.9,150,5,5,3834,13,1,1,1,843791,119,4
191,596,0,1.4,0,8,0,46,0.6,165,1,18,2505,15,1,1,0,937752,60,2
192,1562,1,1.3,1,1,1,7,0.2,190,5,15,2243,6,1,0,0,984186,120,3
193,1490,1,0.5,1,4,1,64,0.3,150,8,8,3600,7,1,1,1,2074488,153,4
194,1523,1,2.4,0,5,1,57,0.2,117,2,6,3971,10,1,1,1,133133,216,4
195,640,0,0.6,0,0,0,20,0.1,163,4,15,2844,18,1,1,0,837090,35,3
196,1526,0,2.1,0,1,1,23,0.2,117,7,8,2227,3,1,1,0,539218,180,3
197,1989,0,2.5,1,0,1,41,0.8,94,3,13,1665,12,1,1,1,1646700,153,3
198,1308,0,1.9,0,0,1,61,0.7,106,3,7,3355,4,1,0,1,71685,30,4
199,609,0,0.5,0,3,0,26,0.3,93,4,4,1866,14,1,1,1,1827224,110,2
200,1905,0,0.6,1,9,1,36,0.4,119,3,20,1287,16,1,0,0,1272150,52,2
201,1703,1,0.5,0,0,1,22,0.6,192,1,0,1046,13,1,0,1,353210,20,1
202,1445,1,2.4,1,7,1,20,0.4,173,7,15,1441,13,1,1,1,1712185,28,2
203,1087,0,1.3,0,0,1,16,0.3,166,3,9,690,6,1,0,1,173755,84,1
204,671,0,0.9,1,10,0,30,0.7,105,7,17,2504,15,1,0,0,1007064,24,3
205,1472,1,2.3,0,6,0,61,0.1,168,6,19,2677,8,1,0,0,746920,285,3
206,765,0,0.5,1,0,1,47,0.3,115,8,1,2243,4,1,0,1,1824833,77,3
207,1642,0,0.5,1,16,1,8,0.3,171,6,17,2984,17,1,0,1,112617,52,3
208,1265,0,1.5,0,7,0,49,0.7,182,5,16,1362,12,0,0,1,576840,0,2
209,664,1,1.1,1,1,1,51,0.1,110,7,4,3629,6,1,1,1,1036078,285,4
210,1277,1,0.5,1,0,1,35,0.4,142,6,6,3559,6,1,1,0,451140,306,4
211,1395,0,1.8,1,0,0,23,0.1,111,3,1,2571,13,1,0,1,150165,0,3
212,1539,1,2.6,0,0,0,41,0.1,159,8,0,2107,10,1,0,1,1852592,135,3
213,1049,1,2.2,0,9,0,63,0.5,135,5,17,1022,13,0,0,0,214323,33,1
214,1827,0,1.7,0,4,1,39,0.5,128,5,16,2844,10,1,1,0,56100,126,3
215,903,0,1,1,0,1,50,0.4,91,1,0,711,10,1,1,0,1519050,45,1
216,1987,1,0.5,0,3,1,53,1,181,3,7,3117,8,1,1,1,1594832,90,4
217,1154,0,1.2,1,0,1,49,0.2,181,8,2,978,7,1,0,1,810959,15,1
218,1336,0,0.9,0,5,1,17,0.2,194,5,9,1869,16,1,1,1,32065,13,2
219,1886,0,0.5,0,0,1,24,0.4,112,3,1,1179,20,1,0,1,1584022,112,2
220,1551,0,1.1,0,4,0,51,0.1,88,5,6,3844,4,0,1,0,3467310,88,4
221,850,1,1.6,1,6,1,29,0.5,133,5,19,593,10,1,0,1,259368,323,1
222,660,0,0.5,0,5,1,40,0.5,111,2,10,588,18,1,1,1,308636,30,1
223,1225,1,2.1,1,8,0,13,0.5,116,4,12,3836,11,0,0,0,1065636,132,4
224,1452,1,0.5,1,1,1,25,0.9,123,6,11,2669,13,1,0,0,43680,120,3
225,1686,1,2.8,1,3,0,38,0.1,166,4,4,2958,2,0,0,0,576841,154,4
226,1634,1,1.4,0,1,1,17,0.2,200,2,5,3031,6,1,1,1,1616628,66,4
227,1708,1,2.4,1,18,1,49,0.1,109,1,19,3388,16,1,1,1,120461,24,4
228,1151,1,2.9,1,0,0,31,0.6,128,8,1,2377,13,0,1,0,1594320,144,3
229,1578,0,1.9,1,2,1,37,0.1,138,4,19,2458,3,1,0,1,503886,304,3
230,1689,0,1.8,0,17,0,24,0.3,127,3,18,2766,7,0,1,1,1144800,14,4
231,1488,0,0.5,0,1,0,39,0.8,112,5,6,3054,19,0,0,0,2516616,140,4
232,1313,1,1.8,1,4,0,9,0.4,105,1,6,3791,6,0,1,1,544128,110,4
233,1715,0,1,1,4,1,31,0.5,83,8,17,625,13,1,0,0,1030370,102,1
234,1442,0,1,1,0,0,27,0.1,192,3,19,2227,20,1,1,0,158697,30,2
235,528,0,1.7,0,12,1,6,0.8,142,2,15,3256,6,1,1,0,365638,72,3
236,1523,1,1.8,0,6,1,11,0.1,129,1,8,707,19,1,1,0,237688,152,1
237,1133,0,1.4,0,3,0,42,0.1,199,5,12,1457,20,1,0,1,1126390,216,2
238,1718,1,2.5,1,14,1,6,0.1,183,5,16,3755,8,1,1,1,552720,7,4
239,1330,0,0.5,0,0,0,38,1,183,7,1,1733,11,1,0,1,1858890,0,2
240,1799,1,0.5,0,0,0,49,0.4,107,4,2,720,11,1,1,1,874056,24,1
241,633,1,2.2,0,0,1,49,0.1,139,8,1,3560,16,1,1,1,533761,11,3
242,724,0,2.7,1,0,0,44,0.5,187,7,0,2311,7,1,0,0,2232842,42,3
243,822,1,0.5,0,0,1,51,0.3,157,6,20,3846,3,1,0,0,573620,10,4
244,1918,0,1.9,0,2,0,10,0.6,110,5,10,1717,16,1,1,1,1805310,7,3
245,1891,0,2.8,0,7,1,37,0.4,129,7,14,3704,11,1,0,0,187252,48,4
246,1373,1,1,1,2,0,50,0.2,127,7,12,3800,14,1,0,0,70665,24,4
247,862,1,0.8,1,3,0,23,0.4,165,2,15,278,11,0,0,1,1394094,48,1
248,1273,0,1,0,3,1,48,0.4,99,4,15,1767,11,1,1,0,434140,270,2
249,957,1,2.5,0,4,0,7,0.8,107,5,10,1846,7,1,0,1,1783485,60,2
250,1617,1,1.3,1,3,1,30,0.7,105,2,4,829,10,1,0,0,255348,0,1
251,893,0,2.5,1,0,0,55,0.6,183,2,1,2986,6,0,1,1,394482,7,3
252,1210,0,0.5,0,0,0,63,0.1,93,5,0,2394,7,0,0,0,1720774,153,3
253,708,1,2.7,1,0,1,63,1,195,8,7,2169,7,1,1,1,51012,30,2
254,835,0,1.1,1,2,0,7,0.2,101,4,7,1181,15,1,1,1,518092,65,1
255,1450,1,2.7,1,9,0,19,0.6,131,1,17,575,12,0,0,0,1330574,135,1
256,973,1,1.5,0,5,1,57,0.2,190,7,16,2977,2,1,0,0,829912,24,3
257,601,1,1.4,0,4,1,4,0.1,154,4,13,532,10,1,1,1,272340,96,1
258,507,1,0.5,1,1,0,32,0.5,141,7,11,1702,5,1,1,1,1308528,0,2
259,564,0,1.8,1,0,1,51,0.5,168,3,1,1074,15,1,1,0,1805760,112,1
260,1559,1,1.6,1,6,1,6,0.5,162,6,17,3352,3,1,1,1,279061,9,4
261,754,0,0.5,1,7,1,59,0.7,178,7,10,1027,5,1,0,0,3690192,18,2
262,728,0,2.7,1,0,0,25,0.2,88,4,1,2039,12,1,1,1,804254,5,2
263,1431,1,0.5,0,0,1,56,0.6,191,1,1,461,8,1,0,0,148512,21,1
264,767,0,1.5,0,4,0,28,0.7,175,4,10,527,15,0,1,0,521848,0,1
265,1722,0,2.6,0,8,0,18,0.8,177,2,16,3271,15,1,0,1,1505965,0,4
266,1992,1,1.6,0,5,1,57,1,100,2,15,606,4,1,1,1,2476992,27,2
267,1876,0,0.5,0,10,1,40,0.3,86,6,14,2513,16,1,1,0,853944,80,4
268,1054,0,1.1,1,10,1,38,0.4,136,6,12,1675,14,1,1,1,1340534,72,2
269,1283,1,1.6,1,4,0,47,0.9,93,5,5,2698,17,1,1,0,257424,54,3
270,1281,1,2.3,1,0,0,28,0.3,148,1,6,1129,6,0,1,0,2077845,12,2
271,1066,0,0.6,0,2,1,7,0.9,114,7,18,468,6,1,1,0,1951182,247,1
272,730,0,2.1,1,0,1,4,0.1,89,8,2,1210,4,1,1,1,376594,285,1
273,1053,1,0.8,1,7,1,45,0.3,103,1,12,3086,5,1,1,1,1049598,102,4
274,1611,1,0.5,1,11,0,3,0.6,98,3,14,1595,9,1,0,1,216342,32,2
275,793,0,1,1,5,1,30,0.9,133,2,15,2332,14,1,1,1,3595230,221,3
276,1220,0,2.9,0,3,0,62,0.5,125,4,8,2589,15,1,1,1,778999,209,3
277,1662,0,0.5,0,0,1,61,0.8,126,4,13,3760,13,1,1,1,48288,45,4
278,1281,1,2.8,1,3,1,8,0.3,144,4,19,1851,9,1,1,0,562860,16,2
279,538,0,0.8,0,12,1,2,0.8,177,7,13,417,9,1,0,1,155570,32,1
280,823,1,0.5,0,0,0,39,0.4,187,8,4,294,11,0,0,1,559440,117,1
281,1733,1,2.8,0,3,1,36,1,119,6,20,3576,9,1,0,0,188139,272,4
282,1429,0,1.5,1,0,1,40,0.9,100,3,14,3945,18,1,0,1,201720,77,4
283,1839,1,1.2,0,9,1,54,0.5,200,7,11,927,18,1,0,1,709175,190,2
284,659,0,2.7,0,6,1,6,0.5,110,3,7,2044,2,1,0,1,2033166,75,2
285,1953,1,2.1,1,7,0,56,0.1,158,8,9,2334,4,1,0,0,424020,55,3
286,1172,0,1.9,0,0,1,27,0.7,164,1,3,1477,6,1,0,0,662844,0,2
287,612,1,1.9,1,6,0,16,0.3,102,7,7,3161,3,0,0,0,2571760,32,4
288,1563,0,2.4,0,0,1,24,0.2,170,8,0,3660,5,1,1,0,241258,35,4
289,1191,0,1.3,1,16,1,26,0.8,84,1,20,1604,9,1,0,1,465123,42,2
290,615,1,0.5,1,0,0,42,0.6,163,6,4,2211,18,0,0,1,173056,28,2
291,1893,1,2.1,1,8,0,63,0.2,134,2,11,3822,18,0,1,1,486031,42,4
292,1563,0,1.7,1,10,0,16,0.1,151,7,13,3922,8,0,0,1,234520,11,4
293,1995,1,1.9,0,6,0,9,0.8,139,6,18,1203,18,1,1,1,3592290,168,3
294,1517,0,0.5,0,6,1,48,0.6,143,5,14,2822,11,1,1,1,1194178,75,4
295,832,0,1.6,1,1,1,34,0.3,108,5,5,447,12,1,1,0,402434,195,1
296,1162,0,2,0,0,1,56,0.7,114,7,1,1652,20,1,0,0,55832,0,2
